"URL","Number of out links"
"https://www.mk.ru/","732"
"https://www.mk.ru/#","732"
"https://www.mk.ru/video/","477"
"https://www.avtovzglyad.ru/","258"
"https://www.ohotniki.ru/","143"
"https://www.womanhit.ru/","304"
"https://www.mk.ru/press-center/","298"
"https://www.mk.ru/promokodi/","101"
"https://www.mk.ru/finance/","46"
"https://www.mk.ru","732"
"https://www.mk.ru/daily/newspaper/","424"
"https://www.mk.ru/subscription/","229"
"https://invite.viber.com/?g2=AQAlzCKwAKzt1kjyzyAABH9y6H6YwWgXAtaIqIJpJaS4%2FwrK8RPd%2FX4wpU1%2Bqm4R","180"
"https://www.mk.ru/telegram/","258"
"https://www.mk.ru/rss/","266"
"http://zen.yandex.ru/mk.ru","19"
"http://vk.com/mk_ru","55"
"https://www.mk.ru/news/","453"
"https://push.mk.ru/","13"
"https://www.mk.ru/politics/","385"
"https://www.mk.ru/economics/","382"
"https://www.mk.ru/incident/","382"
"https://www.mk.ru/social/","385"
"https://www.mk.ru/sport/","380"
"https://www.mk.ru/culture/","386"
"https://www.mk.ru/ecology/","233"
"https://www.mk.ru/auto/","381"
"https://www.mk.ru/photo/","445"
"https://www.mk.ru/blogs/","766"
"https://www.mk.ru/specprojects/free-theme/","380"
"https://www.mk.ru/projects/komandirovka-k-maniaku/","1"
"https://www.mk.ru/stories/daty/","318"
"https://pvg.mk.ru","39"
"https://www.mk.ru/stories/pensiya-budushhego/","271"
"https://www.mk.ru/stories/pmef2019/","312"
"https://www.mk.ru/stories/renovaciya/","337"
"https://www.mk.ru/invitro/","230"
"https://www.mk.ru/social/the-first-of-september/","230"
"https://www.mk.ru/stories/den-shakhtyora/","261"
"https://www.sportmk.ru","407"
"https://www.mk.ru/stories/100-let-mk/","431"
"https://www.mk.ru/social/2020/03/01/chislo-zhertv-koronavirusa-v-yaponii-uvelichilos-do-12.html","461"
"https://www.mk.ru/social/2020/03/01/v-pervyy-den-vesny-v-moskve-ozhidaetsya-do-5-gradusov-tepla.html","458"
"https://www.mk.ru/incident/2020/03/01/bolee-poloviny-vsekh-inficirovannykh-koronavirusom-v-knr-vyzdoroveli.html","457"
"https://www.mk.ru/stories/epidemiya-koronavirusa/","298"
"https://www.mk.ru/incident/2020/03/01/v-avstralii-zafiksirovan-pervyy-letalnyy-iskhod-ot-koronavirusa.html","456"
